time, resource data (Actor State [ActiveInput])*, resource workload, temporal data (Actor State [NumberOfEnabledTransitions])*, temporal workload, decision data (Actor State [TransitionDuration])*, decision workload, TaskStarts, TaskStops
0,(ParentSearch IDLE [false])(ParentSearch IDLE [false])(ParentSearch IDLE [false])(ParentSearch IDLE [false]),4,,0,,0,,
1,(ParentSearch IDLE [false])(ParentSearch IDLE [false])(ParentSearch IDLE [false])(ParentSearch IDLE [true])(Operator IDLE [UAV_LANDED_OP]),5,(ParentSearch IDLE [1]),1,(ParentSearch IDLE [1]),1,,
2,(ParentSearch POKE_MM [false])(ParentSearch POKE_MM [false])(ParentSearch POKE_MM [false])(MissionManager IDLE [PS_POKE_MM])(Operator IDLE [UAV_LANDED_OP]),5,(ParentSearch POKE_MM [10])(MissionManager IDLE [1]),11,(ParentSearch POKE_MM [1])(MissionManager IDLE [1]),2,([PS_START_TRANSMIT_TARGET_DESCRIPTION_PS__PS_START_TRANSMIT_AOI_PS]),
3,(ParentSearch POKE_MM [false])(ParentSearch POKE_MM [MM_ACK_PS])(ParentSearch POKE_MM [false])(ParentSearch POKE_MM [false])(MissionManager RX_PS [PS_POKE_MM])(Operator IDLE [UAV_LANDED_OP]),6,(ParentSearch POKE_MM [1]),1,(ParentSearch POKE_MM [2]),2,([MM_START_LISTEN_TO_PS_MM]),
4,(ParentSearch TX_MM [false])(ParentSearch TX_MM [MM_ACK_PS])(ParentSearch TX_MM [false])(ParentSearch TX_MM [false])(Operator IDLE [UAV_LANDED_OP]),5,(ParentSearch TX_MM [10]),10,(ParentSearch TX_MM [3]),3,,
14,(ParentSearch END_MM [false])(ParentSearch END_MM [MM_ACK_PS])(ParentSearch END_MM [false])(ParentSearch END_MM [false])(MissionManager RX_PS [PS_NEW_SEARCH_AOI_MM])(Operator IDLE [UAV_LANDED_OP]),6,(ParentSearch END_MM [1])(MissionManager RX_PS [1]),2,(ParentSearch END_MM [1])(MissionManager RX_PS [1]),2,,([PS_STOP_TRANSMIT_AOI_PS])
15,(ParentSearch IDLE [false])(ParentSearch IDLE [false])(ParentSearch IDLE [false])(Operator IDLE [UAV_LANDED_OP]),4,(ParentSearch IDLE [1])(MissionManager IDLE [1]),2,(ParentSearch IDLE [1])(MissionManager IDLE [1]),2,([MM_STOP_LISTEN_TO_PS_MM__MM_START_TRANSMIT_AOI_MM__MM_START_SEARCH_MM]),
16,(ParentSearch POKE_MM [false])(ParentSearch POKE_MM [false])(ParentSearch POKE_MM [false])(MissionManager POKE_OP [PS_POKE_MM])(Operator IDLE [UAV_LANDED_OP])(Operator IDLE [MM_POKE_OP]),6,(ParentSearch POKE_MM [10])(MissionManager POKE_OP [1])(Operator IDLE [1]),12,(ParentSearch POKE_MM [1])(MissionManager POKE_OP [1])(Operator IDLE [1]),3,,
17,(ParentSearch POKE_MM [false])(ParentSearch POKE_MM [MM_ACK_PS])(ParentSearch POKE_MM [false])(ParentSearch POKE_MM [false])(MissionManager RX_PS [PS_POKE_MM])(Operator IDLE [UAV_LANDED_OP])(Operator IDLE [MM_END_OP]),7,(ParentSearch POKE_MM [1]),1,(ParentSearch POKE_MM [2]),2,([MM_START_LISTEN_TO_PS_MM]),
18,(ParentSearch TX_MM [false])(ParentSearch TX_MM [MM_ACK_PS])(ParentSearch TX_MM [false])(ParentSearch TX_MM [false])(MissionManager RX_PS [OP_ACK_MM])(Operator RX_MM [UAV_LANDED_OP])(Operator RX_MM [MM_END_OP]),7,(ParentSearch TX_MM [10])(Operator RX_MM [1]),11,(ParentSearch TX_MM [2])(Operator RX_MM [1]),3,([OP_START_LISTEN_TO_MM_OP]),
