time, resource data (Actor State [ActiveInput])*, resource workload, temporal data (Actor State [NumberOfEnabledTransitions])*, temporal workload, decision data (Actor State [TransitionDuration])*, decision workload, TaskStarts, TaskStops
0,,0,,0,,0,,
1,(ParentSearch IDLE [false])(ParentSearch IDLE [false])(ParentSearch IDLE [false])(ParentSearch IDLE [true]),4,(ParentSearch IDLE [1]),1,(ParentSearch IDLE [1]),1,,
2,(ParentSearch POKE_MM [false])(ParentSearch POKE_MM [false])(ParentSearch POKE_MM [false])(MissionManager IDLE [PS_POKE_MM]),4,(ParentSearch POKE_MM [5])(MissionManager IDLE [1]),6,(ParentSearch POKE_MM [1])(MissionManager IDLE [1]),2,([PS_START_TRANSMIT_AOI_PS]),
3,(ParentSearch POKE_MM [false])(ParentSearch POKE_MM [MM_ACK_PS])(ParentSearch POKE_MM [false])(ParentSearch POKE_MM [false]),4,(ParentSearch POKE_MM [1]),1,(ParentSearch POKE_MM [2]),2,([PS_START_TRANSMIT_AOI_PS]),
4,(ParentSearch TX_MM [false])(ParentSearch TX_MM [MM_ACK_PS])(ParentSearch TX_MM [false])(ParentSearch TX_MM [false]),4,(ParentSearch TX_MM [12]),12,(ParentSearch TX_MM [3]),3,,
16,(ParentSearch END_MM [false])(ParentSearch END_MM [MM_ACK_PS])(ParentSearch END_MM [false])(ParentSearch END_MM [false])(MissionManager RX_PS [PS_NEW_SEARCH_AOI_MM]),5,(ParentSearch END_MM [1])(MissionManager RX_PS [1]),2,(ParentSearch END_MM [1])(MissionManager RX_PS [1]),2,([MM_START_LISTEN_TO_PS_MM]),([PS_STOP_TRANSMIT_AOI_PS])
17,(ParentSearch IDLE [false])(ParentSearch IDLE [false])(ParentSearch IDLE [false]),3,(ParentSearch IDLE [1])(MissionManager IDLE [1]),2,(ParentSearch IDLE [1])(MissionManager IDLE [1]),2,([MM_START_SEARCH_MM]),
18,(ParentSearch POKE_MM [false])(ParentSearch POKE_MM [false])(ParentSearch POKE_MM [false])(MissionManager POKE_OP [PS_POKE_MM])(Operator IDLE [UAV_LANDED_OP])(Operator IDLE [MM_POKE_OP]),6,(ParentSearch POKE_MM [5])(MissionManager POKE_OP [1])(Operator IDLE [1]),7,(ParentSearch POKE_MM [1])(MissionManager POKE_OP [1])(Operator IDLE [1]),3,,
19,(ParentSearch POKE_MM [false])(ParentSearch POKE_MM [MM_ACK_PS])(ParentSearch POKE_MM [false])(ParentSearch POKE_MM [false]),4,(ParentSearch POKE_MM [1]),1,(ParentSearch POKE_MM [2]),2,,
20,(ParentSearch TX_MM [false])(ParentSearch TX_MM [MM_ACK_PS])(ParentSearch TX_MM [false])(ParentSearch TX_MM [false])(Operator RX_MM [UAV_LANDED_OP])(Operator RX_MM [MM_END_OP]),6,(ParentSearch TX_MM [12])(Operator RX_MM [1]),13,(ParentSearch TX_MM [2])(Operator RX_MM [1]),3,([OP_START_LISTEN_TO_MM_OP]),
