time, resource data (Actor State Value)*, resource workload, temporal data (Actor State Value)*, temporal workload, decision data (Actor State Value)*, decision workload
0,,0,,0,,0
1,(ParentSearch IDLE [NEW_SEARCH_AREA_EVENT])(ParentSearch IDLE [TARGET_DESCRIPTION_EVENT])(ParentSearch IDLE [TERMINATE_SEARCH_EVENT])(ParentSearch IDLE [NEW_SEARCH_EVENT])(ParentSearch IDLE [NEW_SEARCH_AREA_EVENT])(ParentSearch IDLE [TARGET_DESCRIPTION_EVENT])(ParentSearch IDLE [TERMINATE_SEARCH_EVENT])(ParentSearch IDLE [NEW_SEARCH_EVENT])(ParentSearch IDLE [NEW_SEARCH_AREA_EVENT])(ParentSearch IDLE [TARGET_DESCRIPTION_EVENT])(ParentSearch IDLE [TERMINATE_SEARCH_EVENT])(ParentSearch IDLE [NEW_SEARCH_EVENT])(ParentSearch IDLE [NEW_SEARCH_AREA_EVENT])(ParentSearch IDLE [TARGET_DESCRIPTION_EVENT])(ParentSearch IDLE [TERMINATE_SEARCH_EVENT])(ParentSearch IDLE [NEW_SEARCH_EVENT])(ParentSearch IDLE [NEW_SEARCH_AREA_EVENT])(ParentSearch IDLE [TARGET_DESCRIPTION_EVENT])(ParentSearch IDLE [TERMINATE_SEARCH_EVENT])(ParentSearch IDLE [NEW_SEARCH_EVENT])(ParentSearch IDLE [NEW_SEARCH_AREA_EVENT])(ParentSearch IDLE [TARGET_DESCRIPTION_EVENT])(ParentSearch IDLE [TERMINATE_SEARCH_EVENT])(ParentSearch IDLE [NEW_SEARCH_EVENT])(ParentSearch IDLE [NEW_SEARCH_AREA_EVENT])(ParentSearch IDLE [TARGET_DESCRIPTION_EVENT])(ParentSearch IDLE [TERMINATE_SEARCH_EVENT])(ParentSearch IDLE [NEW_SEARCH_EVENT])(ParentSearch IDLE [NEW_SEARCH_AREA_EVENT])(ParentSearch IDLE [TARGET_DESCRIPTION_EVENT])(ParentSearch IDLE [TERMINATE_SEARCH_EVENT])(ParentSearch IDLE [NEW_SEARCH_EVENT]),32,(ParentSearch IDLE [null]),1,(ParentSearch IDLE [0]),1
2,(ParentSearch POKE_MM [NEW_SEARCH_AREA_EVENT])(ParentSearch POKE_MM [TARGET_DESCRIPTION_EVENT])(ParentSearch POKE_MM [TERMINATE_SEARCH_EVENT])(ParentSearch POKE_MM [NEW_SEARCH_AREA_EVENT])(ParentSearch POKE_MM [TARGET_DESCRIPTION_EVENT])(ParentSearch POKE_MM [TERMINATE_SEARCH_EVENT])(MissionManager IDLE [AUDIO_PS_MM_COMM])(MissionManager IDLE [AUDIO_PS_MM_COMM])(MissionManager IDLE [AUDIO_PS_MM_COMM])(MissionManager IDLE [AUDIO_PS_MM_COMM])(MissionManager IDLE [AUDIO_PS_MM_COMM])(MissionManager IDLE [AUDIO_PS_MM_COMM])(MissionManager IDLE [AUDIO_PS_MM_COMM])(MissionManager IDLE [AUDIO_PS_MM_COMM])(MissionManager IDLE [AUDIO_PS_MM_COMM])(MissionManager IDLE [AUDIO_PS_MM_COMM])(MissionManager IDLE [AUDIO_PS_MM_COMM])(MissionManager IDLE [AUDIO_PS_MM_COMM])(MissionManager IDLE [AUDIO_PS_MM_COMM])(MissionManager IDLE [AUDIO_PS_MM_COMM])(MissionManager IDLE [AUDIO_PS_MM_COMM])(MissionManager IDLE [AUDIO_PS_MM_COMM])(MissionManager IDLE [AUDIO_PS_MM_COMM]),23,(ParentSearch POKE_MM [null])(MissionManager IDLE [null]),11,(ParentSearch POKE_MM [0])(MissionManager IDLE [0]),2
3,(ParentSearch POKE_MM [NEW_SEARCH_AREA_EVENT])(ParentSearch POKE_MM [AUDIO_MM_PS_COMM])(ParentSearch POKE_MM [TARGET_DESCRIPTION_EVENT])(ParentSearch POKE_MM [TERMINATE_SEARCH_EVENT])(ParentSearch POKE_MM [NEW_SEARCH_AREA_EVENT])(ParentSearch POKE_MM [AUDIO_MM_PS_COMM])(ParentSearch POKE_MM [TARGET_DESCRIPTION_EVENT])(ParentSearch POKE_MM [TERMINATE_SEARCH_EVENT]),8,(ParentSearch POKE_MM [null]),1,(ParentSearch POKE_MM [0]),1
4,(ParentSearch TX_MM [NEW_SEARCH_AREA_EVENT])(ParentSearch TX_MM [AUDIO_MM_PS_COMM])(ParentSearch TX_MM [TARGET_DESCRIPTION_EVENT])(ParentSearch TX_MM [TERMINATE_SEARCH_EVENT])(ParentSearch TX_MM [NEW_SEARCH_AREA_EVENT])(ParentSearch TX_MM [AUDIO_MM_PS_COMM])(ParentSearch TX_MM [TARGET_DESCRIPTION_EVENT])(ParentSearch TX_MM [TERMINATE_SEARCH_EVENT])(ParentSearch TX_MM [NEW_SEARCH_AREA_EVENT])(ParentSearch TX_MM [AUDIO_MM_PS_COMM])(ParentSearch TX_MM [TARGET_DESCRIPTION_EVENT])(ParentSearch TX_MM [TERMINATE_SEARCH_EVENT])(ParentSearch TX_MM [NEW_SEARCH_AREA_EVENT])(ParentSearch TX_MM [AUDIO_MM_PS_COMM])(ParentSearch TX_MM [TARGET_DESCRIPTION_EVENT])(ParentSearch TX_MM [TERMINATE_SEARCH_EVENT]),16,(ParentSearch TX_MM [null]),10,(ParentSearch TX_MM [0]),1
14,(ParentSearch END_MM [NEW_SEARCH_AREA_EVENT])(ParentSearch END_MM [AUDIO_MM_PS_COMM])(ParentSearch END_MM [TARGET_DESCRIPTION_EVENT])(ParentSearch END_MM [TERMINATE_SEARCH_EVENT])(MissionManager RX_PS [AUDIO_PS_MM_COMM])(MissionManager RX_PS [AUDIO_PS_MM_COMM])(MissionManager RX_PS [AUDIO_PS_MM_COMM])(MissionManager RX_PS [AUDIO_PS_MM_COMM]),8,(ParentSearch END_MM [null])(MissionManager RX_PS [null]),2,(ParentSearch END_MM [0])(MissionManager RX_PS [0]),2
15,(ParentSearch IDLE [NEW_SEARCH_AREA_EVENT])(ParentSearch IDLE [TARGET_DESCRIPTION_EVENT])(ParentSearch IDLE [TERMINATE_SEARCH_EVENT])(ParentSearch IDLE [NEW_SEARCH_AREA_EVENT])(ParentSearch IDLE [TARGET_DESCRIPTION_EVENT])(ParentSearch IDLE [TERMINATE_SEARCH_EVENT])(ParentSearch IDLE [NEW_SEARCH_AREA_EVENT])(ParentSearch IDLE [TARGET_DESCRIPTION_EVENT])(ParentSearch IDLE [TERMINATE_SEARCH_EVENT])(ParentSearch IDLE [NEW_SEARCH_AREA_EVENT])(ParentSearch IDLE [TARGET_DESCRIPTION_EVENT])(ParentSearch IDLE [TERMINATE_SEARCH_EVENT])(ParentSearch IDLE [NEW_SEARCH_AREA_EVENT])(ParentSearch IDLE [TARGET_DESCRIPTION_EVENT])(ParentSearch IDLE [TERMINATE_SEARCH_EVENT])(ParentSearch IDLE [NEW_SEARCH_AREA_EVENT])(ParentSearch IDLE [TARGET_DESCRIPTION_EVENT])(ParentSearch IDLE [TERMINATE_SEARCH_EVENT])(ParentSearch IDLE [NEW_SEARCH_AREA_EVENT])(ParentSearch IDLE [TARGET_DESCRIPTION_EVENT])(ParentSearch IDLE [TERMINATE_SEARCH_EVENT])(ParentSearch IDLE [NEW_SEARCH_AREA_EVENT])(ParentSearch IDLE [TARGET_DESCRIPTION_EVENT])(ParentSearch IDLE [TERMINATE_SEARCH_EVENT]),24,(ParentSearch IDLE [null])(MissionManager IDLE [null]),2,(ParentSearch IDLE [0])(MissionManager IDLE [0]),2
16,(ParentSearch POKE_MM [NEW_SEARCH_AREA_EVENT])(ParentSearch POKE_MM [TARGET_DESCRIPTION_EVENT])(ParentSearch POKE_MM [TERMINATE_SEARCH_EVENT])(ParentSearch POKE_MM [NEW_SEARCH_AREA_EVENT])(ParentSearch POKE_MM [TARGET_DESCRIPTION_EVENT])(ParentSearch POKE_MM [TERMINATE_SEARCH_EVENT])(MissionManager POKE_OP [AUDIO_PS_MM_COMM])(MissionManager POKE_OP [AUDIO_PS_MM_COMM])(Operator IDLE [VIDEO_UAV_OP_COMM])(Operator IDLE [AUDIO_MM_OP_COMM])(Operator IDLE [VIDEO_UAV_OP_COMM])(Operator IDLE [AUDIO_MM_OP_COMM])(Operator IDLE [VIDEO_UAV_OP_COMM])(Operator IDLE [AUDIO_MM_OP_COMM])(Operator IDLE [VIDEO_UAV_OP_COMM])(Operator IDLE [AUDIO_MM_OP_COMM])(Operator IDLE [VIDEO_UAV_OP_COMM])(Operator IDLE [AUDIO_MM_OP_COMM]),18,(ParentSearch POKE_MM [null])(MissionManager POKE_OP [null])(Operator IDLE [null]),12,(ParentSearch POKE_MM [0])(MissionManager POKE_OP [0])(Operator IDLE [0]),3
17,(ParentSearch POKE_MM [NEW_SEARCH_AREA_EVENT])(ParentSearch POKE_MM [AUDIO_MM_PS_COMM])(ParentSearch POKE_MM [TARGET_DESCRIPTION_EVENT])(ParentSearch POKE_MM [TERMINATE_SEARCH_EVENT])(ParentSearch POKE_MM [NEW_SEARCH_AREA_EVENT])(ParentSearch POKE_MM [AUDIO_MM_PS_COMM])(ParentSearch POKE_MM [TARGET_DESCRIPTION_EVENT])(ParentSearch POKE_MM [TERMINATE_SEARCH_EVENT]),8,(ParentSearch POKE_MM [null]),1,(ParentSearch POKE_MM [0]),1
18,(ParentSearch TX_MM [NEW_SEARCH_AREA_EVENT])(ParentSearch TX_MM [AUDIO_MM_PS_COMM])(ParentSearch TX_MM [TARGET_DESCRIPTION_EVENT])(ParentSearch TX_MM [TERMINATE_SEARCH_EVENT])(ParentSearch TX_MM [NEW_SEARCH_AREA_EVENT])(ParentSearch TX_MM [AUDIO_MM_PS_COMM])(ParentSearch TX_MM [TARGET_DESCRIPTION_EVENT])(ParentSearch TX_MM [TERMINATE_SEARCH_EVENT])(ParentSearch TX_MM [NEW_SEARCH_AREA_EVENT])(ParentSearch TX_MM [AUDIO_MM_PS_COMM])(ParentSearch TX_MM [TARGET_DESCRIPTION_EVENT])(ParentSearch TX_MM [TERMINATE_SEARCH_EVENT])(ParentSearch TX_MM [NEW_SEARCH_AREA_EVENT])(ParentSearch TX_MM [AUDIO_MM_PS_COMM])(ParentSearch TX_MM [TARGET_DESCRIPTION_EVENT])(ParentSearch TX_MM [TERMINATE_SEARCH_EVENT])(Operator RX_MM [VIDEO_UAV_OP_COMM])(Operator RX_MM [AUDIO_MM_OP_COMM])(Operator RX_MM [VIDEO_UAV_OP_COMM])(Operator RX_MM [AUDIO_MM_OP_COMM])(Operator RX_MM [VIDEO_UAV_OP_COMM])(Operator RX_MM [AUDIO_MM_OP_COMM]),22,(ParentSearch TX_MM [null])(Operator RX_MM [null]),11,(ParentSearch TX_MM [0])(Operator RX_MM [0]),2
